1584734436.8768294,VaioAir,2929,127099,3335.88
1584734436.8768294,VenomousAir,2001,77714,2022.05
1584734436.8768294,Air land,1592,75417,1119.33
1584734436.8768294,Airmericana,1611,70883,1380.91
1584734436.8768294,RG1405,2685,67240,511.91
1584734436.8768294,CallumAir,1417,65387,1088.79
1584734436.8768294,Planet Express,3740,64372,494.54
1584734436.8768294,Eurolines,1340,63690,2055.4
1584734436.8768294,Scuderia Airlines,1443,62561,1586.68
1584734436.8768294,Bodok,1356,61293,945.32
1584734436.8768294,Husaria Poland,1524,58982,1500.98
1584734436.8768294,Lee Air,1423,58437,502.7
1584734436.8768294,Canton9Air,2226,57881,465.02
1584734436.8768294,AirAmsterdam,1623,53908,673.14
1584734436.8768294,Holla Air,1022,53515,477
1584734436.8768294,Penguin Airways.,1101,51696,549.47
1584734436.8768294,Global Air,1090,50227,1263.15
1584734436.8768294,Aeroflot,4022,49369,62.98
1584734436.8768294,Hooters air,1116,49130,464.28
1584734436.8768294,Sudo,1053,47818,865.1
1584734436.8768294,Intercontinental Airlines,1010,47205,657.08
1584734436.8768294,Air DD,1118,45869,723.49
1584734436.8768294,Dragoon20005,1981,45005,200.66
1584734436.8768294,Below Aerospace ,1066,44888,607.93
1584734436.8768294,Leilani Air,958,44661,867.81
1584734436.8768294,JEI Airlines,6197,44555,367.75
1584734436.8768294,Nunas Air,1285,44239,797.94
1584734436.8768294,LOT,1143,43939,622.58
1584734436.8768294,Indo-Pacific ,996,43662,618.63
1584734436.8768294,All Nippon Airways,1182,43043,800.52
1584734436.8768294,British Airways A380,1013,42942,890.89
1584734436.8768294,SASASAIR,993,42712,389.31
1584734436.8768294,JAGS,1027,42245,1274.71
1584734436.8768294,LUXURAIR,1076,41525,446.97
1584734436.8768294,Lucas Aerospace,954,40614,531.99
1584734436.8768294,Air Asia,892,40217,501.92
1584734436.8768294,Ekli Air,1090,38873,379.61
1584734436.8768294,MANGALORE AIRLINES,28017,38810,372.45
1584734436.8768294,Rasta Airways,972,38588,697.7
1584734436.8768294,Northerners Air,996,38292,452.12
1584734436.8768294,FLYOURAIR,1087,36970,400.23
1584734436.8768294,AirAsia ,778,36818,262.38
1584734436.8768294,Idduki airways,790,36575,666.9
1584734436.8768294,Zarius,811,35658,884.52
1584734436.8768294,Continental Airway,810,35446,433.4
1584734436.8768294,SIFIC,806,34897,589.19
1584734436.8768294,MoneyyBear,837,34558,319.1
1584734436.8768294,FLY 365,980,32731,373.78
1584734436.8768294,Alibi Airlines,1179,29745,374.76
1584734436.8768294,AURORA_AIR,22776,28650,158.97
1584734436.8768294,turtle,798,27538,268.43
1584734436.8768294,SYDCAL International,600,26314,781.81
1584734436.8768294,favorit inc.,1108,25936,67.12
1584734436.8768294,IFLYSWA,572,24027,795.94
1584734436.8768294,Cathy Pacific Airway,484,23298,362.18
1584734436.8768294,Atlantis Airways,607,22511,422.18
1584734436.8768294,Prajwal Airlines,582,20569,368.41
1584734436.8768294,BulldogAir ,432,20262,298.39
1584734436.8768294,TAM Linhas Aéreas,521,19635,616.67
1584734436.8768294,Cathay Express,9873,18011,301.53
